Gene	alpha	beta	gamma	delta	epsilon	zeta	eta	theta	iota
AC003986.5	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0
AC003986.6	1.14	1.13	0.73	0.0	5.51	1.46	1.16	0.23	0.62
AC003986.7	0.26	0.23	0.13	0.79	1.46	0.17	0.26	0.0	0.0
AC003988.1	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0
AC003989.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003989.4	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0
AC003991.3	1.07	0.08	1.12	0.59	0.23	0.26	0.0	0.0	0.38
AC004000.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004000.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004004.2	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0
AC004006.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004009.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004009.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004009.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004012.1	0.0	0.26	1.05	0.0	0.0	0.0	0.0	0.0	0.0
AC004014.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004016.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004019.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004019.13	0.21	0.09	0.03	0.0	0.02	0.16	0.17	0.0	0.14
AC004022.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004051.2	0.0	0.05	0.04	0.0	0.0	0.0	0.01	0.0	0.0
AC004052.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004053.1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
AC004053.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004054.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004057.1	835.43	627.48	879.6	1323.21	558.46	1005.61	448.12	555.44	2783.8
AC004062.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004063.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004066.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004066.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004067.5	0.76	0.5	0.66	2.35	0.57	0.5	1.22	0.51	0.0
AC004069.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004069.2	0.0	1.47	0.19	2.22	0.38	0.51	0.0	0.52	0.0
AC004070.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004074.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004076.5	0.37	0.22	0.08	0.19	0.53	0.31	0.0	0.11	0.01
AC004076.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004076.9	0.0	0.8	0.66	0.0	0.43	0.71	1.21	0.0	0.0
AC004079.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004108.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004112.4	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0
AC004112.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004112.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004125.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004129.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004129.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004156.3	0.01	0.13	0.17	0.0	0.1	0.54	0.51	0.0	0.06
AC004158.1	0.21	0.11	0.0	3.21	0.0	0.0	0.0	0.0	0.0
AC004158.3	0.02	0.07	0.05	0.0	0.0	0.06	0.96	0.06	0.05
AC004159.1	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0
AC004160.4	0.11	0.0	0.1	0.0	0.17	0.0	0.0	0.0	0.0
AC004221.2	0.13	0.04	0.05	0.0	0.0	0.0	0.0	0.06	0.0
AC004231.2	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0
AC004237.1	0.59	0.31	1.1	2.0	0.33	0.54	0.0	0.0	0.0
AC004257.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004381.6	5.57	8.37	6.92	3.08	8.6	10.0	12.58	4.36	4.35
AC004381.7	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004383.3	2.53	2.23	0.56	0.0	1.5	1.06	3.05	1.86	1.56
AC004386.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004386.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004448.2	1.78	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004448.5	1.32	0.17	0.0	0.0	0.0	0.39	4.7	0.0	0.0
AC004449.6	0.0	0.36	0.26	0.0	0.36	3.83	0.0	0.0	1.1
AC004453.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004453.8	6.29	4.99	2.17	4.47	5.58	2.39	0.8	0.96	1.56
AC004458.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004460.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004461.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004470.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004471.10	0.13	0.26	0.0	0.0	0.05	0.0	0.46	0.0	0.0
AC004471.9	0.22	1.32	0.08	0.0	0.5	0.11	0.0	0.0	0.0
AC004477.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004485.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004490.1	0.26	0.03	0.13	0.0	0.05	0.11	0.0	0.0	0.1
AC004492.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004510.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004520.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004535.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004538.3	2.27	1.31	2.05	7.09	5.29	0.0	11.45	6.67	2.2
AC004540.4	0.0	7.1	1.65	0.0	39.41	0.1	0.0	0.0	0.0
AC004540.5	0.08	5.4	4.13	0.46	12.64	0.54	1.58	0.03	0.23
AC004541.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004543.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004543.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004549.6	0.0	0.0	0.0	0.32	0.03	0.0	0.0	0.1	0.0
AC004552.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004593.3	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.03	0.29
AC004595.1	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0
AC004603.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004623.2	0.0	0.0	0.0	4.19	0.0	0.0	0.0	0.0	0.0
AC004623.3	3.59	1.49	0.37	1.16	0.99	1.49	1.13	0.47	1.23
AC004637.1	0.14	0.23	0.0	0.0	0.08	0.0	0.0	0.0	0.0
AC004655.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004656.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004673.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004691.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004691.5	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0
AC004692.4	0.0	0.23	0.45	0.0	0.0	0.13	0.0	0.44	0.0
AC004692.5	0.35	0.0	0.0	0.0	0.09	0.69	0.0	0.32	0.0
AC004699.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004702.2	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0
AC004744.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004745.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004754.3	0.18	0.84	0.26	0.0	0.0	0.0	0.03	0.0	0.0
AC004769.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004775.5	0.08	0.37	0.0	0.0	0.05	0.23	0.0	0.0	0.0
AC004791.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004812.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004813.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004816.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004819.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004824.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004824.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004832.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.3	0.23	1.25	0.0	0.9	0.0	0.0	0.0	0.04	0.0
AC004837.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.5	1.51	0.09	0.31	0.0	0.34	0.08	0.63	0.0	0.31
AC004840.8	0.0	0.0	0.08	0.0	0.78	0.0	0.0	0.0	0.32
AC004846.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004850.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004853.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004854.4	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004854.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004862.6	0.03	14.47	11.0	0.04	0.08	0.0	5.17	2.57	10.01
AC004866.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004866.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004869.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004869.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004870.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004870.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004870.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004875.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004878.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0
AC004878.8	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0
AC004893.10	0.48	0.38	0.0	0.22	0.12	0.15	0.0	0.0	0.07
AC004893.11	2.61	3.64	1.21	0.1	3.16	4.04	0.11	0.97	2.5
AC004895.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004895.4	0.0	0.0	0.0	1.42	0.14	0.0	0.0	0.0	0.0
AC004899.3	0.0	0.23	0.05	0.0	0.0	0.0	0.0	0.0	0.0
AC004901.1	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0
AC004906.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004911.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004915.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004920.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004920.3	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0
AC004924.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004932.1	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
AC004938.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004941.3	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0
AC004941.5	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004943.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004945.1	0.0	0.03	0.0	0.0	0.0	0.16	0.0	0.0	0.0
AC004946.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004947.2	0.0	0.03	0.0	0.0	0.01	0.0	0.0	0.0	0.0
AC004951.5	0.56	0.05	0.07	0.0	0.0	0.0	0.0	0.09	0.0
AC004951.6	3.61	1.35	1.69	0.74	5.19	1.75	1.84	1.34	1.15
AC004953.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004967.7	0.32	0.34	0.12	0.0	1.12	0.0	0.0	0.45	0.0
AC004969.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004980.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004980.10	2.6	2.28	3.4	0.65	1.56	1.84	0.0	0.26	0.03
AC004980.7	8.39	9.4	6.69	4.82	5.25	18.46	2.06	4.58	2.83
AC004980.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004980.9	0.23	0.0	0.19	0.0	0.44	0.47	0.0	0.0	0.0
AC004984.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004985.12	0.7	0.0	0.03	0.0	0.22	0.14	0.0	0.0	0.0
AC004987.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004987.9	0.69	1.45	3.34	2.55	4.22	2.62	0.42	1.68	0.92
AC004988.1	0.06	0.0	0.11	0.0	0.0	0.03	0.0	0.0	0.0
AC005000.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005008.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005008.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005009.1	0.0	0.44	0.66	0.0	0.0	0.0	0.0	0.0	0.0
AC005009.2	0.0	0.54	0.34	0.0	0.0	0.0	0.0	0.0	0.02
AC005013.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005014.5	0.0	0.02	0.0	0.0	0.0	0.03	0.0	0.0	0.0
AC005017.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005019.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005019.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005020.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005024.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005027.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005033.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005034.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005037.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005037.3	0.3	0.0	0.23	0.0	0.27	0.93	0.0	0.0	0.95
AC005037.6	0.34	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005040.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005041.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005042.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005042.2	0.0	0.23	0.0	0.0	0.13	0.21	0.0	0.26	0.18
AC005042.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005042.4	1.28	3.0	1.31	1.99	2.21	0.76	4.53	0.77	1.58
AC005042.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005048.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005052.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005062.2	2.0	2.33	4.53	1.74	0.13	1.93	6.52	6.99	6.61
AC005071.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005071.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005071.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005071.4	0.0	0.0	0.0	0.0	6.16	0.0	0.0	0.0	0.0
AC005076.5	0.67	2.76	3.31	1.08	0.28	0.74	0.0	0.0	0.0
AC005077.14	1.91	0.1	3.2	0.13	0.16	0.46	4.09	1.79	1.45
AC005077.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005077.7	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005077.8	0.0	0.0	1.33	0.0	0.0	0.0	8.63	3.1	2.13
AC005077.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005082.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005082.12	0.07	0.0	0.02	2.49	2.27	0.0	4.25	0.01	2.07
AC005083.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005086.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005086.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005086.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005088.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005094.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005102.1	0.57	0.0	0.0	0.0	0.24	1.71	0.0	0.0	0.0
AC005104.3	6.35	0.34	0.51	0.36	2.1	4.03	0.0	0.61	0.57
AC005105.2	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0
AC005150.1	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.05	0.0
AC005150.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005150.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005152.3	0.75	1.69	0.0	1.3	0.0	0.0	0.0	0.0	0.0
AC005154.6	65.28	22.99	22.62	37.95	14.3	26.89	108.98	26.27	50.35
AC005154.7	3.07	1.09	0.47	4.37	0.36	1.22	2.2	0.44	0.62
AC005154.8	0.63	1.44	0.33	0.0	0.32	0.42	0.0	0.0	1.07
AC005158.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005159.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005160.3	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0
AC005162.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005162.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005176.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005176.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005176.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005178.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005187.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005189.6	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0
AC005197.2	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0
AC005204.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005215.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005220.3	0.0	0.11	0.15	0.0	0.23	0.19	0.0	0.0	0.0
AC005224.2	3.22	3.52	1.36	2.34	1.3	1.25	0.32	0.24	0.43
AC005227.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005229.1	0.0	0.0	0.0	362.65	7.69	0.0	0.0	0.0	0.0
AC005229.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005229.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005235.1	0.0	1.09	6.95	0.0	0.0	0.48	0.0	0.3	1.81
AC005237.2	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0
AC005237.4	3.66	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0
AC005251.3	0.17	0.09	0.0	0.38	0.69	0.51	0.08	0.0	0.0
AC005253.2	7.27	1.72	1.46	2.84	2.25	4.11	2.24	1.11	0.9
AC005253.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005255.3	1.86	0.0	0.0	0.0	5.54	5.11	0.0	0.0	0.0
AC005255.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005255.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005256.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005262.2	0.0	0.0	0.0	0.0	2.88	0.0	0.0	0.0	0.0
AC005262.3	0.0	0.28	0.0	0.0	0.0	0.0	0.2	0.0	0.0
AC005262.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005264.2	0.29	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0
AC005276.1	0.13	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005281.1	0.11	0.06	2.95	0.0	0.2	0.0	0.0	0.0	0.0
AC005281.2	0.0	0.0	0.0	0.0	0.0	0.0	0.54	1.27	0.0
AC005284.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005284.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005288.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005300.5	0.0	0.0	0.67	0.0	0.0	0.21	0.0	0.0	0.0
AC005301.8	0.0	0.81	0.0	0.0	0.0	0.0	0.75	0.0	0.0
AC005304.1	0.38	1.29	0.0	0.0	0.39	0.0	0.0	0.0	0.0
AC005306.3	0.0	0.19	0.9	0.0	0.0	4.46	0.0	0.0	0.0
AC005307.1	0.13	0.0	0.0	0.0	0.0	0.06	0.0	0.03	0.0
AC005307.3	0.0	0.04	0.0	0.0	0.02	0.0	8.22	0.35	0.0
AC005324.6	0.42	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005324.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005329.7	0.98	0.72	0.38	0.0	0.33	0.3	0.0	0.0	1.03
AC005330.2	1.47	0.0	0.03	0.0	0.03	0.25	0.0	0.04	0.22
AC005336.4	0.0	0.0	0.0	0.0	0.03	0.17	0.0	0.0	0.0
AC005336.5	0.0	0.03	0.0	0.0	0.0	0.06	0.0	0.0	0.0
AC005339.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005339.2	3.97	2.24	1.29	2.11	4.37	1.88	0.0	0.18	0.0
AC005351.1	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0
AC005355.1	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.11
AC005355.2	0.0	0.03	0.3	0.0	0.0	0.05	0.0	0.0	0.0
AC005355.3	0.0	0.0	0.11	0.0	0.08	0.14	0.0	0.0	0.0
AC005357.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005358.3	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0
AC005363.11	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.79	0.0
AC005363.9	0.0	5.81	9.69	4.21	4.73	2.18	6.25	13.47	2.76
AC005371.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005375.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005387.2	0.66	0.35	0.0	0.0	0.09	0.16	0.0	0.0	0.0
AC005387.3	2.17	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0
AC005391.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005392.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005394.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005412.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005477.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005480.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005481.5	0.0	0.54	0.37	0.0	0.05	0.51	0.64	0.0	0.0
AC005487.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005488.11	0.22	0.2	0.0	0.0	0.1	0.08	0.0	0.0	0.0
AC005498.1	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0
AC005498.3	0.0	0.31	0.0	0.0	0.19	0.0	0.0	0.0	0.0
AC005498.4	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0
AC005510.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005513.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005514.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005517.3	5.43	4.95	3.46	3.43	2.08	2.07	0.0	0.0	0.63
AC005518.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005519.4	2.67	2.43	7.34	11.83	3.24	3.89	1.11	0.75	0.32
AC005522.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005522.7	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0
AC005523.2	9.48	20.95	6.49	6.57	15.73	13.44	9.52	12.27	6.73
AC005523.3	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005532.5	0.57	0.54	2.17	0.34	0.76	0.29	2.74	1.59	12.14
AC005534.6	0.0	0.0	0.65	0.92	0.36	0.0	0.0	0.0	0.25
AC005534.8	1.02	0.0	0.0	1.19	0.17	0.0	0.0	0.0	0.0
AC005537.2	0.0	0.08	0.0	1.43	0.0	0.03	0.0	0.0	0.0
AC005538.1	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0
AC005538.3	0.05	1.29	9.86	0.0	10.6	5.12	0.0	0.0	0.0
AC005538.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005539.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005540.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
